,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
28,Georginio Wijnaldum ,0.44,0.38,1 78',86',6',,90',90',1 90',1 70',12',67',62',90',90',90',87',90',3 64',1 90',90',90',2 89',1 90',22',90',69',1 90',90',90',90',1 90',90',90',1 90',1',90',1 90',90',90'
29,Rhys Williams,0.47,0.38,90',1 90',1 84',,90',,,,6',,90',,,,,,,,,,,,,1 30',,90',,,,,,,,,,,,
30,Alex Oxlade-Chamberlain,1.11,0.23,1',9',,,3',,1 9',,,1 8',,28',,,15',,26',10',,1 57',,56',,7',15',,,,,,,,,,,,,
31,Alisson,0.03,0.03,90',90',90',90',90',90',90',90',90',90',90',90',,90',90',90',,90',90',1 90',90',90',90',90',90',90',90',,90',90',90',90',90',,,90',90',90'
32,Adrián,0.00,0.00,,,,,,,,,,,,,90',,,,,,,,,,,,,,,,,,,,,90',90',,,
33,Divock Origi ,0.00,0.00,,,,,,,,,,,,,,3',,,26',80',3',57',5',,,1',,,6',,,1',,,,,,,,
34,Billy Koumetio,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Leighton Clarkson,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Caoimhin Kelleher,0.00,0.00,,,,,,,,,,,,,,,,,90',,,,,,,,,,,90',,,,,,,,,,
37,Rhian Brewster,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
