,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Everton - Home,Newcastle United - Away,Tottenham Hotspur - Away,Leeds United - Home,West Ham United - Away,Manchester United - Home,Chelsea - Away,Southampton - Away,Brighton & Hove Albion - Home,Crystal Palace - Away,Aston Villa - Away,Liverpool - Home,Leicester City - Home,Watford - Away,Wolverhampton Wanderers - Home,Brentford - Home,Wolverhampton Wanderers - Away,Burnley - Home,Manchester City - Home,Norwich City - Away,Leeds United - Away,West Ham United - Home,Southampton - Home,Everton - Away,Manchester United - Away,Newcastle United - Home,Liverpool - Away,Watford - Home,Leicester City - Away,Aston Villa - Home,Crystal Palace - Home,Brighton & Hove Albion - Away,Tottenham Hotspur - Home,Burnley - Away,Norwich City - Home,Manchester City - Away,Chelsea - Home,Brentford - Away
1,,AVG,5-1,2-0,3-0,2-1,1-2,3-1,2-4,1-0,1-2,3-0,0-1,0-2,2-0,2-3,2-1,2-1,0-1,0-0,1-2,0-5,1-4,2-0,3-0,2-1,3-2,2-0,4-0,1-0,0-2,3-1,2-2,0-0,3-1,0-1,1-0,5-0,0-2,2-0
2,Possession,54%,74%,49%,43%,57%,51%,56%,32%,76%,64%,69%,53%,49%,46%,57%,55%,67%,41%,76%,29%,65%,49%,56%,62%,64%,55%,66%,37%,61%,36%,54%,54%,42%,47%,55%,52%,32%,35%,65%
3,Passes,481_432,647_234,331_325,412_561,621_364,454_586,507_412,332_704,655_213,512_283,647_293,521_441,505_528,481_564,556_428,508_407,562_294,356_481,643_211,249_644,585_314,392_405,501_387,507_320,588_329,526_431,646_328,384_639,488_316,342_621,454_392,544_475,355_497,431_485,523_392,437_408,185_757,335_646,568_309
4,Tackles,14_15,13_22,15_17,5_15,9_8,6_4,11_13,20_22,12_14,9_19,16_17,12_11,17_15,15_17,21_17,11_21,13_14,18_12,7_18,16_14,13_17,14_15,22_18,8_13,19_13,10_18,14_13,18_14,22_17,7_10,11_15,17_22,7_16,21_14,18_13,17_19,1_1,20_11,10_19
5,Corners,5_5,12_2,8_12,2_2,8_2,7_3,1_7,1_6,8_6,11_2,2_0,5_6,1_6,2_6,5_1,5_4,14_0,4_7,12_4,5_5,4_3,4_1,5_2,9_8,3_3,8_3,4_4,1_6,4_2,6_7,7_4,6_3,5_8,4_4,3_8,8_4,0_14,9_8,5_2
6,1st Half Corners,2_2,7_1,3_8,1_1,1_0,5_3,0_3,0_0,2_5,4_0,1_0,2_3,0_4,0_0,0_0,0_0,0_0,0_0,0_0,0_0,2_0,2_1,2_1,4_5,3_1,5_2,1_2,0_5,3_2,4_1,5_1,2_2,0_5,1_2,1_2,4_1,0_1,2_2,0_0
7,2nd Half Corners,2_2,5_1,5_4,1_1,0_0,0_0,0_0,0_0,6_1,7_2,1_0,3_3,1_2,0_0,0_0,0_0,0_0,0_0,0_0,0_0,2_3,2_0,3_1,5_3,0_2,3_1,3_2,1_1,1_0,2_6,2_3,4_1,5_3,3_2,2_6,4_3,0_1,4_6,0_0
8,Shots - Total,15_11,26_6,6_11,9_16,19_3,13_8,12_11,14_11,22_8,22_8,12_6,6_7,9_9,21_6,16_13,27_6,24_6,12_15,13_7,7_15,16_4,21_9,21_7,15_11,9_11,13_13,24_9,5_19,14_7,9_16,22_10,17_9,8_21,12_10,13_18,30_10,1_25,6_22,22_8
9,Shots - On target,5_4,9_2,2_4,5_6,9_2,7_3,7_5,4_2,6_3,6_3,3_5,3_1,2_3,8_3,4_7,6_2,8_2,2_6,5_1,2_2,6_2,12_2,8_1,5_6,3_5,8_10,6_5,3_9,6_1,5_8,9_4,6_6,2_2,7_4,3_3,7_1,0_10,3_5,4_3
10,Shots - Off target,7_5,8_3,4_7,4_10,8_0,4_3,5_6,10_9,16_5,16_5,9_1,3_6,7_6,4_1,9_3,21_4,8_1,10_9,8_6,4_6,4_1,9_7,5_3,7_2,6_6,5_3,12_2,0_3,6_2,1_5,8_3,7_3,5_12,4_5,4_10,13_3,1_5,2_6,18_5
11,Shots - Blocked,5_3,9_1,5_5,3_7,2_1,2_4,2_3,3_4,5_5,11_1,2_0,4_1,5_4,9_2,3_3,11_0,8_3,7_4,7_3,1_7,6_1,6_1,8_3,3_3,3_3,4_1,6_2,2_7,2_4,3_3,5_3,4_0,2_7,1_1,6_5,11_6,0_10,1_11,5_0
12,Shots - Outside Box,6_4,9_3,6_6,6_2,4_1,6_1,5_5,4_2,10_3,7_6,6_3,6_3,6_2,5_2,5_6,6_1,7_3,4_6,7_5,2_7,5_1,7_5,10_5,4_7,2_4,5_5,10_6,2_3,8_3,2_8,8_5,6_6,4_8,5_3,7_5,9_5,0_8,3_7,9_1
