,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Wolverhampton Wanderers - Home,Southampton - Away,Aston Villa - Away,Tottenham Hotspur - Home,Newcastle United - Away,Everton - Home,Manchester United - Home,Manchester City - Away,Watford - Home,Arsenal - Away,Brighton & Hove Albion - Away,West Ham United - Home,Leeds United - Home,Norwich City - Home,Burnley - Away,Leicester City - Home,Crystal Palace - Away,Brentford - Home,Chelsea - Away,Leicester City - Away,Tottenham Hotspur - Away,Newcastle United - Home,Aston Villa - Home,Wolverhampton Wanderers - Away,Everton - Away,Southampton - Home,Arsenal - Home,West Ham United - Away,Brighton & Hove Albion - Home,Manchester United - Away,Watford - Away,Manchester City - Home,Brentford - Away,Crystal Palace - Home,Leeds United - Away,Chelsea - Home,Burnley - Home,Norwich City - Away
1,,AVG,3-1,1-2,1-2,1-1,0-1,2-0,4-0,2-2,2-0,0-2,0-2,1-0,6-0,3-1,0-1,2-0,1-3,3-0,2-2,1-0,2-2,3-1,1-0,0-1,1-4,4-0,4-0,3-2,2-2,0-5,0-5,2-2,3-3,3-0,0-3,1-1,2-0,0-3
2,Possession,63%,63%,72%,58%,66%,66%,86%,72%,45%,73%,51%,48%,69%,64%,70%,67%,65%,57%,68%,45%,64%,56%,74%,63%,67%,69%,64%,63%,69%,59%,63%,77%,48%,67%,61%,56%,65%,67%,50%
3,Passes,621_362,669_400,734_300,530_343,618_338,528_274,787_173,897_354,468_566,716_263,528_505,401_430,715_316,672_378,697_308,643_303,665_362,576_431,712_340,463_574,588_358,519_413,738_258,551_329,641_320,599_269,613_338,639_384,683_299,641_464,731_409,816_252,501_529,561_271,490_332,524_404,695_370,527_263,512_520
4,Tackles,14_17,20_19,18_15,15_12,17_18,16_20,9_12,15_22,18_17,23_23,15_17,15_13,11_16,8_21,14_20,11_14,18_23,7_13,9_21,12_19,15_17,27_15,11_23,18_21,15_21,14_9,13_16,14_18,6_7,10_20,11_5,18_16,16_11,11_14,22_22,8_16,15_27,14_18,17_19
5,Corners,7_3,5_3,9_1,3_2,11_5,6_0,13_1,9_2,1_4,9_3,6_1,5_7,4_6,4_0,8_4,8_5,7_6,5_2,9_0,7_6,12_1,4_6,11_0,11_3,8_2,11_3,5_7,6_1,2_3,5_3,3_6,9_1,3_4,11_2,10_5,11_2,12_3,8_4,11_3
6,1st Half Corners,3_1,3_2,5_0,1_1,2_0,3_0,3_1,7_1,0_4,4_3,4_0,0_0,0_0,1_0,0_0,0_0,2_3,5_1,0_0,3_2,4_1,3_3,6_0,7_1,5_1,7_1,2_3,5_0,2_1,2_1,1_3,7_0,2_2,4_0,6_3,4_0,1_0,0_1,0_0
7,2nd Half Corners,2_1,2_1,4_1,0_0,5_1,3_0,0_0,2_1,1_0,5_0,2_1,0_0,0_0,3_0,0_0,0_0,5_3,0_1,0_0,4_4,8_0,1_3,5_0,4_2,3_1,4_2,3_4,1_1,0_2,3_2,2_3,2_1,1_2,7_2,4_2,7_2,2_0,1_0,0_0
8,Shots - Total,19_8,29_7,24_4,17_9,22_8,24_4,18_9,14_2,6_11,20_5,9_9,18_8,22_13,22_4,29_6,12_8,22_5,14_8,27_6,10_15,21_6,18_10,23_4,20_4,17_3,16_8,20_7,19_5,16_7,14_9,19_12,19_6,6_12,16_12,25_13,30_9,24_6,27_9,19_14
9,Shots - On target,7_3,8_5,5_2,6_4,3_3,10_2,4_1,5_1,4_5,3_2,3_2,9_3,5_5,13_3,8_1,4_5,11_1,7_5,13_1,6_6,4_1,6_5,8_2,5_0,5_1,7_2,6_3,9_3,5_3,3_6,8_4,8_2,4_3,6_4,10_2,9_4,8_3,9_3,8_3
