,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Sheffield United - Away,Liverpool - Home,Leeds United - Home,Fulham - Away,West Ham United - Home,Wolverhampton Wanderers - Away,Manchester United - Away,Newcastle United - Home,Southampton - Away,Everton - Away,Arsenal - Home,Leicester City - Home,Tottenham Hotspur - Away,West Bromwich Albion - Home,Fulham - Home,Crystal Palace - Away,Brighton & Hove Albion - Home,Manchester City - Home,Chelsea - Away,Aston Villa - Home,Liverpool - Away,West Ham United - Away,Manchester United - Home,Sheffield United - Home,Leeds United - Away,Wolverhampton Wanderers - Home,Aston Villa - Away,Arsenal - Away,Everton - Home,Manchester City - Away,Crystal Palace - Home,Brighton & Hove Albion - Away,Chelsea - Home,Tottenham Hotspur - Home,West Bromwich Albion - Away,Newcastle United - Away,Southampton - Home,Leicester City - Away
1,,AVG,1-0,0-3,0-4,0-2,1-2,0-4,3-1,1-2,3-2,1-2,1-1,1-1,4-0,0-0,1-1,0-3,1-1,0-2,2-0,3-2,0-1,1-0,0-1,1-0,1-0,2-1,0-0,0-1,1-1,5-0,1-0,0-0,0-3,0-1,0-0,3-1,0-1,4-2
2,Possession,44%,57%,41%,48%,32%,48%,42%,30%,56%,45%,35%,42%,40%,41%,62%,46%,47%,54%,30%,28%,40%,28%,52%%,37%,37%,49%,36%,41%,36%,41%,32%,46%,42%,36%,38%,44%,53%,53%,33%
3,Passes,364_520,482_361,389_584,418_440,253_521,426_544,325_474,266_610,445_342,352_424,291_547,419_595,351_571,439_633,433_267,400_477,390_427,444_379,271_804,287_723,290_475,274_686,454_364,334_566,322_551,378_424,260_463,273_388,307_557,396_581,315_720,408_459,376_529,392_693,364_595,352_476,455_416,522_480,292_621
4,Tackles,13_12,16_19,14_15,12_11,19_17,8_11,15_16,15_13,12_10,18_14,6_8,12_11,8_8,11_11,17_16,10_14,16_16,8_6,5_6,16_13,19_6,10_6,14_7,5_12,12_13,11_17,14_11,19_6,12_12,15_19,14_7,14_12,14_11,13_13,15_11,13_14,13_5,15_12,12_13
5,Corners,5_6,9_8,6_7,6_8,4_8,5_4,5_8,3_8,13_3,7_6,4_7,2_3,5_8,4_3,5_5,5_5,4_7,8_7,1_3,2_4,2_4,0_12,4_7,3_4,3_5,12_4,1_7,1_10,4_13,8_4,4_6,4_7,3_5,3_4,4_5,2_8,4_3,8_2,4_15
6,1st Half Corners,1_2,1_0,0_0,2_6,1_0,0_0,1_0,0_0,1_1,1_2,0_0,0_1,0_0,0_0,0_1,0_1,1_0,1_1,0_0,0_1,0_0,0_6,1_2,0_2,2_3,3_3,0_2,0_6,0_7,1_2,2_3,4_4,1_2,2_2,0_2,1_5,2_2,5_2,0_8
7,2nd Half Corners,2_2,1_1,2_3,4_2,0_0,1_2,0_0,0_0,2_0,0_0,1_1,0_0,0_0,3_1,0_1,1_0,0_0,0_0,0_2,0_0,0_0,0_6,3_5,0_0,1_2,9_1,1_5,1_4,4_6,7_2,2_3,0_3,2_3,1_2,4_3,1_3,2_1,3_0,4_7
8,Shots - Total,10_15,10_12,10_20,16_16,14_21,8_22,14_12,10_17,24_10,7_24,14_14,9_15,12_16,10_16,6_10,9_9,16_13,20_10,2_13,1_19,11_18,6_27,11_15,11_13,5_7,14_11,10_15,6_27,10_18,8_13,9_19,10_15,4_19,5_14,13_9,9_13,7_10,10_5,16_14
9,Shots - On target,3_5,3_3,4_3,4_6,5_3,3_4,7_2,3_9,4_5,5_9,5_4,5_3,7_4,3_7,1_3,3_5,4_3,7_2,0_6,0_8,6_11,4_6,2_4,0_7,3_3,6_4,4_3,4_7,2_6,3_6,1_6,4_5,1_3,0_9,4_3,4_6,3_5,2_1,5_6
