,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Arsenal - Away,Everton - Home,Manchester United - Away,Aston Villa - Home,Brighton & Hove Albion - Away,Crystal Palace - Home,Leicester City - Away,Brentford - Home,Chelsea - Home,Nottingham Forest - Away,Leeds United - Home,Newcastle United - Away,Tottenham Hotspur - Home,Liverpool - Away,Fulham - Away,AFC Bournemouth - Home,Southampton - Away,Liverpool - Home,Manchester City - Away,West Ham United - Home,Aston Villa - Away,Manchester United - Home,Everton - Away,Arsenal - Home,Brighton & Hove Albion - Home,Brentford - Away,Leicester City - Home,Crystal Palace - Away,Nottingham Forest - Home,Chelsea - Away,West Ham United - Away,Manchester City - Home,Southampton - Home,AFC Bournemouth - Away,Newcastle United - Home,Tottenham Hotspur - Away,Fulham - Home,Leeds United - Away
1,,AVG,5-0,1-1,2-0,1-0,6-0,2-0,2-1,2-0,1-0,1-1,2-4,2-1,1-0,2-0,1-1,0-1,1-2,3-0,3-0,1-0,1-1,0-1,1-2,0-2,2-3,1-1,0-4,2-1,1-0,3-0,2-0,0-3,1-0,0-0,1-1,1-0,0-0,2-1
2,Possession,62%,49%,53%,52%,38%,43%,41%,58%,51%,38%,72%,66%,58%,46%,43%,50%,68%,59%,49%,44%,58%,44%,46%,45%,37%,29%,41.4%,61.2%,48.9%,58%,42.6%,60.6%,40.5%,50.5%,66%,36%,50%,59.3%,59%
3,Passes,438_435,432_456,451_382,469_439,264_432,381_527,320_446,497_364,453_436,314_530,636_235,580_294,425_302,421_473,402_528,442_448,616_291,481_324,396_531,468_579,534_366,383_491,394_484,359_505,348_579,256_653,304_419,537_347,428_449,435_313,431_591,564_372,422_622,432_406,603_320,265_458,477_472,496_328,546_355
4,Tackles,16_15,9_17,12_19,8_13,13_10,16_15,21_11,12_22,21_23,22_27,14_15,21_21,20_13,18_5,21_12,19_20,18_9,20_13,6_5,15_8,15_11,29_11,16_17,19_17,17_9,18_15,1_4,11_23,28_24,15_15,12_24,12_23,19_19,14_18,26_24,20_16,18_18,18_17,3_2
5,Corners,5_5,4_8,1_7,7_11,5_6,5_2,6_11,7_1,5_2,8_8,3_4,5_4,3_10,4_8,2_5,3_3,12_2,2_5,2_7,7_5,4_3,8_7,7_5,2_2,6_4,4_9,6_3,9_2,2_4,4_5,2_4,6_1,5_7,5_6,5_2,4_13,6_8,5_3,4_6
6,1st Half Corners,2_2,2_1,0_3,3_2,1_2,1_1,4_5,4_0,3_1,7_6,1_4,0_3,1_6,0_3,1_5,1_1,8_2,1_3,1_0,0_4,3_0,6_2,2_3,2_1,3_2,0_5,3_0,4_1,1_3,3_3,0_4,3_0,2_2,3_4,2_0,1_5,2_3,4_1,0_3
7,2nd Half Corners,3_3,2_7,1_4,4_9,4_4,4_1,2_6,3_1,2_1,1_2,2_0,5_1,2_4,4_5,1_0,2_2,4_0,1_2,1_7,7_1,1_3,2_5,5_2,0_1,3_2,4_4,3_3,5_1,1_1,1_2,2_0,3_1,3_5,2_2,3_2,3_8,4_5,1_2,4_3
8,Shots - Total,10_14,6_14,13_19,5_27,6_18,10_22,9_14,16_15,11_10,9_13,8_17,23_11,7_19,8_21,4_15,8_10,15_5,11_17,12_22,8_14,17_16,11_13,10_16,7_12,11_14,8_19,13_12,13_2,10_14,9_10,7_19,5_7,6_16,7_12,14_4,10_21,20_11,7_9,15_12
9,Shots - On target,3_5,0_9,5_4,0_9,2_3,2_8,3_4,3_8,9_3,4_1,1_7,8_4,4_8,5_6,1_6,2_5,4_1,2_2,6_4,1_7,4_4,3_4,3_6,4_6,2_4,5_8,4_3,6_4,4_4,2_2,2_7,4_5,1_7,2_1,4_2,4_6,3_4,1_3,6_4
10,Shots - Off target,5_6,6_7,8_14,5_11,4_15,5_7,4_4,7_4,0_3,3_4,3_7,9_5,3_3,3_6,2_6,5_2,5_1,2_10,5_8,5_5,6_5,4_3,1_5,2_4,6_7,1_7,6_6,7_1,5_5,5_6,5_10,7_5,4_5,4_7,9_2,2_4,8_5,5_5,6_5
11,Shots - Blocked,3_5,3_3,2_6,0_8,2_7,3_7,2_6,6_3,2_4,2_8,4_3,6_2,0_8,0_9,1_3,1_3,6_3,7_5,1_10,4_1,7_7,3_6,6_5,1_2,3_3,2_4,3_4,8_0,1_5,3_3,2_3,4_9,1_4,1_4,5_1,4_11,9_2,1_1,3_4
12,Shots - Outside Box,4_5,2_3,3_9,0_14,2_4,4_7,3_6,10_5,5_2,3_5,3_3,7_4,4_6,4_14,0_3,2_7,3_2,4_5,5_10,4_3,7_7,2_5,2_5,3_5,5_3,2_7,7_4,6_1,3_5,1_4,2_3,10_8,3_10,1_5,6_1,5_10,13_1,3_1,7_5
13,Shots - Inside Box,7_9,4_11,10_10,5_13,4_12,6_15,6_8,6_10,6_8,6_8,5_14,16_7,3_13,4_7,4_12,6_3,12_3,7_12,7_12,6_10,10_9,8_8,8_11,4_7,6_11,6_12,6_8,15_4,7_9,8_6,6_17,5_10,3_6,6_7,11_4,5_11,7_10,4_8,8_7
