,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Burnley - Away,Arsenal - Home,Manchester City - Away,Liverpool - Home,Norwich City - Away,Crystal Palace - Home,Leicester City - Home,Wolverhampton Wanderers - Home,Tottenham Hotspur - Away,Everton - Away,Chelsea - Away,Southampton - Away,Brighton & Hove Albion - Home,Brentford - Away,West Ham United - Away,Aston Villa - Home,Everton - Home,Leeds United - Away,Watford - Home,Manchester United - Home,Manchester City - Home,Liverpool - Away,Leicester City - Away,Burnley - Home,Norwich City - Home,Arsenal - Away,Brentford - Home,Brighton & Hove Albion - Away,Chelsea - Home,Crystal Palace - Away,Tottenham Hotspur - Home,Wolverhampton Wanderers - Away,Watford - Away,Leeds United - Home,Manchester United - Away,Southampton - Home,Aston Villa - Away,West Ham United - Home
1,,AVG,1-2,2-0,5-0,0-1,0-3,1-0,2-1,1-0,5-1,1-0,1-0,1-2,2-1,0-2,1-1,1-0,3-1,0-1,1-1,1-1,0-4,3-1,4-0,1-0,1-1,2-0,3-3,1-1,0-3,1-1,2-3,2-1,1-1,1-1,4-1,2-2,2-0,2-4
2,Possession,41%,48%,51%,29%,34%,55%,36%,31%,41%,38%,56%,27%,32%,32%,63%,53%,37%,39%,37%,52%,30%,28%,26%,53%,48%,31%,34%,52%,34%,21%,25%,36%,48%,48%,35%,35%,36%,53%,47%
3,Passes,329_514,338_344,325_331,281_712,274_528,506_417,347_589,264_584,378_546,379_604,447_276,209_570,306_648,304_634,504_301,431_388,249_424,292_454,277_477,407_381,259_566,265_709,258_738,431_400,322_356,262_569,328_646,354_335,326_654,198_773,214_665,334_612,406_460,335_364,301_541,365_644,293_525,333_303,401_473
4,Tackles,17_17,22_11,17_15,19_7,20_16,15_20,18_21,26_22,11_24,13_18,15_18,16_14,21_14,12_11,12_9,13_11,15_14,21_19,19_21,27_19,18_18,12_20,23_11,26_20,13_15,8_17,13_14,13_21,23_15,10_12,18_11,25_24,14_24,22_15,17_19,17_19,31_15,14_13,8_23
5,Corners,4_5,2_8,12_8,2_8,0_6,3_2,2_5,3_5,1_2,3_2,7_5,2_7,5_12,4_7,6_6,7_3,3_6,6_2,7_6,4_6,2_3,3_6,0_11,6_4,10_3,2_5,4_4,8_2,5_2,0_2,7_3,2_9,4_0,6_5,4_5,3_7,4_4,4_3,7_6
6,1st Half Corners,2_2,1_1,8_3,1_4,0_3,0_0,0_0,2_2,0_0,1_2,5_2,0_0,2_4,0_0,0_0,0_0,0_0,0_0,3_4,4_3,0_0,1_3,0_6,4_2,2_1,1_3,2_1,5_0,2_2,0_0,2_1,1_3,2_0,5_2,1_4,1_4,0_0,1_0,0_0
7,2nd Half Corners,1_2,1_7,4_5,1_4,0_3,0_0,0_0,1_3,1_2,2_0,2_3,0_0,3_8,0_0,0_0,0_0,0_0,0_0,4_2,0_3,0_0,2_3,0_5,2_2,8_2,1_2,2_3,3_2,3_0,0_2,5_2,1_6,2_0,1_3,3_1,2_3,0_0,0_0,2_1
8,Shots - Total,11_13,8_12,11_6,7_21,4_24,13_5,12_10,16_8,12_5,8_19,17_9,7_8,8_13,10_15,26_6,14_11,10_11,21_11,7_8,12_18,13_13,5_15,4_23,12_8,19_10,9_16,9_24,23_10,6_14,6_19,6_14,5_7,8_7,20_15,17_22,12_21,10_22,9_10,17_18
9,Shots - On target,4_5,6_5,4_2,3_9,2_10,7_2,4_2,7_2,4_2,1_6,6_3,2_3,3_4,4_4,11_1,3_3,2_1,10_4,3_4,1_5,8_4,1_7,2_8,3_5,4_1,1_6,5_6,9_4,1_5,1_6,2_3,1_4,2_3,6_4,7_9,3_7,5_6,1_2,3_9
