,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Liverpool - Away,Norwich City - Home,Manchester City - Home,Chelsea - Away,Brighton & Hove Albion - Home,Burnley - Away,Newcastle United - Away,Aston Villa - Home,Leeds United - Home,Everton - Away,Watford - Home,Crystal Palace - Home,West Ham United - Away,Arsenal - Away,Leicester City - Home,Tottenham Hotspur - Away,Arsenal - Home,Brentford - Away,Southampton - Home,Manchester United - Away,Chelsea - Home,Brighton & Hove Albion - Away,Manchester City - Away,Liverpool - Home,Burnley - Home,Norwich City - Away,West Ham United - Home,Crystal Palace - Away,Everton - Home,Leeds United - Away,Aston Villa - Away,Newcastle United - Home,Southampton - Away,Brentford - Home,Watford - Away,Manchester United - Home,Tottenham Hotspur - Home,Leicester City - Away
1,,AVG,3-1,1-1,1-5,2-2,0-3,1-0,1-0,2-1,2-3,0-1,4-0,0-2,1-0,2-1,2-1,0-2,0-1,1-2,3-1,0-1,0-0,0-1,1-0,0-1,0-0,0-0,1-0,2-0,2-1,1-1,2-3,2-1,0-1,0-2,0-2,0-1,0-1,1-0
2,Possession,51%,37%,64%,34%,41%,49%,64%,59%,49%,48%,62%,66%,64%,61%,45%,35%,41%,59%,39%,41%,49%,37%,41%,29%,33%,62%,56%,53%,41%,62%,36%,52%,52%,43%,62%,56%,44%,58%,44%
3,Passes,461_472,400_669,613_350,383_787,332_493,458_479,590_324,546_378,421_441,414_448,597_356,666_343,561_308,635_397,407_508,320_567,412_572,481_356,477_455,327_437,457_488,433_739,365_524,310_746,320_641,589_306,601_443,530_482,360_547,617_373,293_494,415_391,460_406,383_497,519_324,485_370,427_552,470_356,443_584
4,Tackles,18_17,19_20,7_24,16_22,19_20,19_22,28_19,24_11,23_15,15_27,12_22,10_13,20_14,13_16,21_11,22_22,15_14,12_18,21_17,23_10,13_17,17_16,17_18,14_10,21_15,14_18,21_23,17_12,31_25,15_26,19_27,7_12,24_14,12_13,9_16,19_20,15_8,29_18,20_15
5,Corners,4_5,3_5,5_3,6_2,3_9,7_3,6_3,2_1,4_9,2_5,2_5,5_2,7_7,5_3,4_5,7_10,3_7,7_4,3_6,2_10,8_3,4_9,4_7,1_14,2_8,5_5,3_4,7_3,6_4,4_3,3_6,7_6,0_4,5_5,4_2,8_6,5_7,5_4,4_5
6,1st Half Corners,1_2,2_3,1_2,3_1,1_5,2_1,3_1,0_0,2_4,1_0,1_5,2_0,0_0,0_0,0_0,0_0,1_1,0_0,0_0,0_0,0_0,3_4,2_5,0_4,1_5,2_3,1_2,2_1,2_2,3_0,1_2,2_2,0_2,2_0,1_2,4_3,1_1,1_0,0_2
7,2nd Half Corners,2_2,1_2,4_1,3_1,2_4,5_2,3_2,2_1,2_5,1_5,1_0,3_2,0_0,0_0,0_0,0_0,2_6,0_0,0_0,0_0,0_0,1_5,2_2,1_10,1_3,3_2,2_2,5_2,4_2,1_3,2_4,5_4,0_2,3_5,3_0,4_3,0_1,1_4,4_3
8,Shots - Total,11_14,7_29,16_12,7_15,14_20,10_17,12_16,5_12,11_15,14_15,14_7,9_5,12_12,14_13,6_27,11_17,11_17,15_12,9_13,9_13,19_9,4_8,8_11,2_24,3_17,16_7,5_14,15_9,4_13,10_14,8_18,9_14,7_8,5_18,11_9,14_6,15_10,25_8,17_9
9,Shots - On target,4_5,5_8,4_2,3_5,4_7,1_9,4_7,2_4,5_5,8_6,3_2,5_0,5_8,1_4,2_6,3_7,7_7,6_2,3_2,5_10,6_2,1_1,6_1,1_10,1_5,3_1,2_4,5_3,2_6,4_5,4_4,4_5,3_2,3_6,0_3,5_2,6_3,6_6,3_5
10,Shots - Off target,5_7,2_7,12_10,3_9,10_13,9_8,8_9,3_8,6_10,4_7,5_5,4_5,4_1,4_8,4_21,5_6,1_5,9_10,6_11,3_3,7_4,1_1,2_10,1_8,2_8,13_6,3_7,7_4,2_5,6_9,2_9,3_7,3_3,0_5,8_5,6_4,9_7,9_0,7_3
11,Shots - Blocked,3_4,0_14,6_1,1_2,1_6,5_4,5_4,1_5,3_4,2_2,6_1,1_4,3_3,9_1,0_11,3_4,3_5,4_7,2_5,1_0,6_3,2_6,1_3,0_6,0_4,5_2,0_3,3_2,0_2,3_4,2_5,2_2,2_7,2_8,3_1,3_0,3_2,10_2,7_1
12,Shots - Outside Box,4_4,1_7,9_2,2_3,4_6,5_8,4_4,2_4,3_6,6_4,9_4,4_4,6_1,7_6,1_6,4_8,4_5,6_4,4_4,1_5,11_5,3_2,3_5,0_8,2_4,8_4,1_5,7_5,2_1,2_4,3_5,3_4,3_3,0_10,7_3,5_4,5_3,11_1,5_3
13,Shots - Inside Box,6_9,6_22,8_9,5_12,10_13,6_9,6_10,3_8,8_9,8_11,5_3,6_5,6_11,7_7,5_20,7_9,7_12,9_8,3_7,8_8,8_4,1_6,5_7,2_16,1_13,8_2,4_9,8_3,2_12,8_10,5_13,6_10,4_5,5_8,4_6,9_2,10_7,14_7,12_6
14,Fouls,10_9,3_6,5_10,2_11,11_7,6_4,7_8,13_6,15_8,13_14,11_13,11_10,13_8,2_8,9_8,12_9,13_13,12_13,7_6,13_13,8_9,9_7,14_11,5_12,4_7,5_7,10_10,6_9,13_14,10_8,14_15,17_8,15_5,8_12,10_7,13_15,7_9,9_7,10_6
15,Offsides,2_2,1_3,0_0,2_3,1_2,1_1,2_5,0_1,1_1,1_3,0_7,1_4,1_8,1_2,2_2,2_2,1_3,1_2,4_0,2_1,3_2,2_4,1_1,0_1,7_1,1_3,0_1,0_0,1_1,1_2,1_1,2_1,2_1,1_3,2_2,2_1,4_2,3_0,4_5
16,Yellow Card,2_2,0_1,0_3,0_1,3_1,2_1,1_3,1_1,4_3,3_5,1_4,2_2,0_3,0_1,1_1,4_4,1_3,2_5,3_2,2_3,1_3,0_2,0_2,4_3,2_2,2_3,2_2,1_1,1_2,1_1,3_2,3_2,0_2,0_0,4_4,3_3,3_4,1_4,2_1
