,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Fulham - Home,Chelsea - Home,AFC Bournemouth - Away,Wolverhampton Wanderers - Home,West Ham United - Away,Brighton & Hove Albion - Away,Aston Villa - Home,Tottenham Hotspur - Away,Nottingham Forest - Away,Everton - Home,Brentford - Home,Newcastle United - Away,Southampton - Home,Liverpool - Away,Leicester City - Home,Leeds United - Away,Leeds United - Home,Crystal Palace - Home,Arsenal - Away,Crystal Palace - Away,Manchester City - Home,AFC Bournemouth - Home,Wolverhampton Wanderers - Away,Nottingham Forest - Home,Fulham - Away,Aston Villa - Away,West Ham United - Home,Chelsea - Away,Tottenham Hotspur - Home,Newcastle United - Home,Everton - Away,Manchester City - Away,Arsenal - Home,Leicester City - Away,Southampton - Away,Liverpool - Home,Brentford - Away,Brighton & Hove Albion - Home
1,,AVG,2-1,4-1,0-1,2-0,1-0,1-0,1-0,2-2,0-2,2-0,1-0,2-0,0-0,7-0,3-0,0-2,2-2,2-1,3-2,1-1,2-1,3-0,0-1,3-0,1-2,3-1,1-0,1-1,2-0,0-0,1-2,6-3,3-1,0-1,0-1,2-1,4-0,1-2
2,Possession,43%,54%,41%,59%,48%,61%,40%,57%,60%,68%,64%,65%,54%,47%,40%,57%,67%,65%,64%,42%,60%,28%,59%,54%,66%,48%,58%,53%,52.7%,51.8%,62.9%,60.9%,45.8%,39.3%,46.2%,51.7%,29.9%,66.6%,62.8%
3,Passes,502_423,493_426,438_617,655_453,439_469,683_345,385_563,512_370,600_387,608_281,614_331,616_327,417_343,389_444,314_468,572_433,537_248,608_323,485_412,386_517,626_399,309_723,579_405,484_394,631_314,433_461,543_401,490_412,464_414,583_528,512_301,609_375,476_551,310_465,513_595,404_364,273_645,525_255,548_326
4,Tackles,17_16,19_15,19_21,26_12,13_8,15_17,20_15,14_15,16_19,12_20,10_30,15_18,18_22,21_15,15_17,23_25,29_21,19_30,13_9,21_21,31_23,7_5,9_16,17_16,17_17,12_18,15_14,17_9,17_11,16_12,17_13,16_9,14_14,19_14,15_21,14_17,24_13,13_6,12_14
5,Corners,5_5,5_4,3_4,6_3,11_7,6_5,6_8,1_4,8_6,9_4,10_4,12_3,4_7,7_8,3_4,6_6,3_7,6_5,5_5,4_12,3_3,1_2,6_5,5_7,9_9,3_10,5_3,5_10,4_6,8_3,4_4,4_5,1_5,2_5,3_1,3_5,6_8,2_8,6_2
6,1st Half Corners,2_2,3_2,1_1,0_1,2_3,1_0,5_3,1_1,2_2,3_3,7_2,8_0,1_3,3_4,2_2,2_3,2_0,4_2,5_2,0_3,1_1,0_1,1_3,3_2,2_3,2_3,3_1,3_2,3_1,6_0,3_3,1_0,0_2,0_3,2_0,2_1,3_3,0_3,0_1
7,2nd Half Corners,3_3,2_2,2_3,6_2,9_4,5_5,1_5,0_3,6_4,6_1,3_2,4_3,3_4,4_4,1_2,4_3,1_7,2_3,0_3,0_0,2_2,1_1,5_2,2_5,7_6,1_7,2_2,2_8,1_5,2_3,1_1,3_5,1_3,2_2,1_1,1_4,3_5,2_5,6_1
8,Shots - Total,14_11,21_11,18_14,20_10,27_5,19_15,16_23,14_7,17_18,22_6,29_15,18_6,6_22,10_17,8_18,26_19,11_16,24_8,14_10,6_24,15_10,5_4,18_7,16_10,17_8,14_14,8_6,9_3,8_4,28_8,14_9,10_4,4_17,7_11,9_10,1_2,5_2,15_13,7_14
9,Shots - On target,6_4,8_4,9_5,5_4,9_0,4_4,5_6,6_1,8_7,8_0,11_1,3_1,1_6,4_4,4_8,8_3,5_6,7_2,5_3,4_5,4_5,4_1,6_4,6_3,8_3,9_7,3_4,3_5,6_2,10_2,2_2,4_2,8_10,6_3,2_2,6_5,5_5,4_7,5_4
