,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Manchester City - Away,Wolverhampton Wanderers - Home,Sheffield United - Home,Aston Villa - Away,West Ham United - Away,Aston Villa - Home,Arsenal - Away,Tottenham Hotspur - Home,Brighton & Hove Albion - Away,Crystal Palace - Home,Burnley - Home,Chelsea - Away,West Bromwich Albion - Away,Southampton - Home,Liverpool - Away,Manchester City - Home,Fulham - Home,Manchester United - Away,Leeds United - Away,Newcastle United - Home,Leicester City - Home,Wolverhampton Wanderers - Away,West Ham United - Home,Sheffield United - Away,Arsenal - Home,Leicester City - Away,Chelsea - Home,Burnley - Away,Leeds United - Home,Fulham - Away,Manchester United - Home,Newcastle United - Away,Southampton - Away,Liverpool - Home,Brighton & Hove Albion - Home,Crystal Palace - Away,West Bromwich Albion - Home,Tottenham Hotspur - Away
1,,AVG,5-0,1-0,0-1,0-0,0-1,1-2,0-1,2-2,0-0,1-1,1-2,2-0,0-1,1-0,0-2,1-3,0-2,3-3,1-2,0-2,1-1,1-2,0-1,0-1,2-1,0-2,1-0,1-1,0-1,2-3,1-3,2-1,2-0,2-2,4-2,1-2,5-2,0-1
2,Possession,48%,32%,41%,62%,42%,31%,48%,41%,53%,45%,47%,65%,34%,52%,48%,29%,30%,49%,38%,38%,61%,35%,48%,60%,57%,42%,39%,28%,59%,41%,46%,54%,63%,46%,41%,43%,58%,71%,49%
3,Passes,451_521,340_725,377_528,635_385,362_502,278_606,421_469,438_627,502_450,400_503,459_512,547_291,369_713,500_450,410_462,279_693,313_755,534_545,397_653,331_561,488_301,298_573,500_558,588_391,545_420,401_551,344_547,241_639,581_396,391_542,518_620,523_453,607_369,509_610,380_524,474_618,524_370,799_322,529_552
4,Tackles,16_15,12_10,20_12,21_14,9_7,23_16,19_15,19_10,6_6,7_17,15_17,8_6,11_19,18_7,19_27,21_16,18_11,17_10,15_14,13_17,17_14,14_20,11_14,15_16,13_18,12_9,13_21,13_17,19_15,19_19,22_12,25_13,22_13,15_18,16_18,20_20,20_26,21_18,19_9
5,Corners,4_6,5_7,7_12,11_4,1_9,6_5,3_6,3_7,6_3,3_10,3_4,7_4,3_7,3_3,4_10,2_7,0_10,5_4,1_5,1_7,7_12,5_11,5_6,3_3,3_5,4_3,6_4,6_6,4_8,4_2,5_2,5_2,4_5,5_4,2_5,3_10,6_7,11_1,3_5
6,1st Half Corners,1_1,1_0,1_2,6_1,0_5,0_1,0_2,0_1,0_0,0_2,0_1,0_0,1_0,2_0,0_1,1_0,0_4,0_1,0_2,0_0,0_2,1_0,0_1,0_0,1_1,1_2,4_2,1_3,2_1,1_1,3_2,1_1,2_2,4_1,2_3,2_0,2_4,9_1,2_2
7,2nd Half Corners,1_2,0_1,2_0,5_3,1_4,0_1,0_1,0_1,0_1,0_1,2_0,1_1,0_1,0_0,2_1,0_0,0_0,1_1,0_1,0_0,0_4,1_2,1_2,2_0,2_4,3_1,2_2,5_3,2_7,3_1,2_0,4_1,2_3,1_3,0_2,1_10,4_3,2_0,1_3
8,Shots - Total,11_13,8_21,14_9,16_10,15_13,9_11,16_13,8_14,18_12,8_23,15_13,14_14,7_19,12_11,7_9,9_15,3_16,7_12,6_14,10_16,11_13,8_19,5_12,10_11,7_10,9_13,11_14,9_10,13_8,15_23,9_14,7_13,15_11,6_13,11_22,11_11,10_8,17_6,15_9
9,Shots - On target,4_4,3_11,5_3,6_3,5_2,3_1,3_5,1_3,7_3,1_3,7_6,4_5,1_10,3_3,1_1,6_6,2_7,2_3,3_5,6_8,3_3,2_6,3_3,2_5,3_2,2_2,6_2,4_3,6_3,8_6,7_6,1_5,4_4,2_6,5_8,6_3,5_1,7_4,4_5
