,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Brighton & Hove Albion - Away,Manchester City - Home,Norwich City - Away,Arsenal - Home,Chelsea - Away,Burnley - Home,Brentford - Away,Everton - Home,Tottenham Hotspur - Away,Aston Villa - Home,Liverpool - Away,Wolverhampton Wanderers - Home,Newcastle United - Home,Leicester City - Away,Watford - Home,Manchester United - Away,Leeds United - Home,Norwich City - Home,Crystal Palace - Away,Watford - Away,Southampton - Home,Arsenal - Away,Burnley - Away,Chelsea - Home,Brighton & Hove Albion - Home,Manchester City - Away,Wolverhampton Wanderers - Away,Liverpool - Home,Aston Villa - Away,Tottenham Hotspur - Home,Everton - Away,Brentford - Home,Leeds United - Away,Manchester United - Home,Southampton - Away,Crystal Palace - Home,Leicester City - Home,Newcastle United - Away
1,,AVG,3-1,2-2,0-4,1-2,1-0,1-1,2-0,2-1,3-1,2-1,1-0,1-0,1-1,2-2,1-0,1-0,2-3,2-0,2-3,1-4,2-3,2-0,0-0,3-2,1-1,2-1,1-0,3-2,1-4,1-0,0-1,1-2,1-2,1-2,0-0,2-2,4-1,2-4
2,Possession,48%,50%,22%,63%,49%,33%,61%,53%,56%,47%,47%,31%,39%,47%,45%,64%,43%,47%,62%,38%,57%,56%,44%,60%,36%,32%,32%,47%,31%,58%,38%,62%,60%,46%,39%,58%,46%,51%,53%
3,Passes,436_488,480_489,189_697,679_384,586_454,354_710,505_325,540_477,529_407,544_604,443_501,316_715,397_635,388_431,433_550,609_335,413_548,386_442,550_337,339_558,423_316,451_378,387_501,471_310,335_588,271_540,330_728,482_530,299_683,459_333,369_637,539_327,424_286,348_414,417_624,541_390,378_462,502_508,473_401
4,Tackles,14_14,14_11,9_10,12_12,4_6,14_11,6_11,10_11,11_9,6_13,11_17,16_11,16_13,11_13,14_21,15_15,8_18,22_23,7_14,31_15,15_16,13_18,18_22,10_19,12_6,13_19,16_15,12_17,7_6,21_16,23_15,13_19,16_5,15_16,14_14,13_8,16_13,15_13,23_8
5,Corners,5_5,6_5,4_9,5_9,3_7,1_3,13_4,6_4,2_4,3_5,5_7,6_4,3_5,3_7,4_5,5_6,3_3,4_3,11_2,1_9,5_4,10_2,2_5,14_6,1_9,9_5,4_8,3_7,3_2,6_3,2_4,9_7,10_6,7_5,2_11,4_5,5_3,10_0,6_7
6,1st Half Corners,2_2,4_1,2_2,3_4,3_5,1_1,6_2,2_0,1_2,2_3,0_0,0_0,0_0,0_0,1_5,2_1,0_0,0_0,6_1,0_0,0_0,4_2,1_2,6_4,1_4,3_3,2_1,1_2,1_2,2_3,1_2,2_2,5_3,4_2,0_6,1_2,3_1,2_0,0_0
7,2nd Half Corners,2_2,2_4,2_7,2_5,0_0,0_2,7_2,0_0,1_2,1_2,0_0,0_0,0_0,0_0,3_0,3_5,0_0,0_0,5_1,0_0,0_0,6_0,1_3,8_2,0_5,6_2,2_7,2_5,2_0,4_0,1_2,7_5,5_3,3_3,2_5,3_3,0_0,2_0,1_2
8,Shots - Total,12_14,7_18,6_30,13_8,8_13,6_26,23_8,5_15,11_13,6_12,11_13,13_22,13_14,11_14,8_13,10_6,4_12,15_18,15_7,10_22,13_14,13_12,7_21,16_9,11_19,15_9,5_19,9_15,7_16,21_9,13_7,16_15,18_13,20_15,13_17,13_11,14_9,19_5,18_17
9,Shots - On target,4_4,2_7,2_8,5_2,3_7,2_5,7_1,1_8,5_2,1_4,4_7,5_5,4_1,3_3,3_2,3_1,1_3,5_5,6_3,5_6,6_5,4_7,1_8,3_1,5_7,6_3,3_9,3_5,3_5,9_3,4_4,4_2,5_6,7_5,4_10,3_3,4_2,7_1,9_3
10,Shots - Off target,5_7,2_4,4_22,3_2,3_4,4_21,16_7,4_7,4_6,5_8,5_2,8_17,8_4,2_5,2_7,7_5,3_9,6_9,9_4,5_16,3_5,9_5,3_5,8_5,6_4,9_6,1_6,4_7,2_5,5_5,5_2,4_9,6_3,9_4,5_4,3_5,3_3,10_2,9_14
11,Shots - Blocked,3_5,3_7,1_13,5_4,4_2,2_12,5_3,1_5,2_5,0_5,2_4,3_7,1_9,6_6,3_4,2_1,2_6,4_4,3_1,1_5,4_4,3_3,3_8,5_3,0_8,2_2,1_4,2_3,2_6,7_1,4_1,8_4,7_4,4_6,4_3,7_4,7_4,3_2,5_7
12,Shots - Outside Box,4_5,3_5,1_13,3_5,1_6,1_12,4_1,2_3,5_5,0_6,4_4,3_11,6_7,1_6,2_4,1_4,1_5,2_4,4_4,1_6,3_3,5_6,5_10,7_3,2_7,6_3,4_6,5_7,2_4,8_3,3_3,4_2,7_2,9_9,7_5,8_1,3_3,4_1,6_8
