,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,AFC Bournemouth - Home,Wolverhampton Wanderers - Away,Manchester City - Home,Brighton & Hove Albion - Away,Leicester City - Away,Newcastle United - Home,Crystal Palace - Away,Fulham - Home,Manchester United - Away,Tottenham Hotspur - Home,Chelsea - Away,Brentford - Home,Nottingham Forest - Away,Arsenal - Away,Aston Villa - Home,Leeds United - Home,Liverpool - Away,Arsenal - Home,West Ham United - Away,Southampton - Home,Brighton & Hove Albion - Home,Manchester City - Away,Wolverhampton Wanderers - Home,AFC Bournemouth - Away,Leicester City - Home,Fulham - Away,Crystal Palace - Home,Newcastle United - Away,Tottenham Hotspur - Away,Manchester United - Home,Southampton - Away,West Ham United - Home,Liverpool - Home,Leeds United - Away,Brentford - Away,Nottingham Forest - Home,Aston Villa - Away,Chelsea - Home
1,,AVG,1-0,1-1,0-3,1-5,2-2,1-4,0-0,1-3,2-0,1-1,2-2,1-0,2-2,4-0,0-2,1-0,2-0,1-0,2-0,1-2,1-4,1-1,1-2,3-0,0-2,0-0,3-0,1-0,2-0,1-2,1-2,1-0,0-0,1-1,1-1,1-1,2-1,0-1
2,Possession,59%,38%,47%,36%,24%,45%,40%,43%,46%,36%,39%,31%,33%,43%,27%,47%,50%,40%,30%,65%,53%,49%,26%,55%,61%,44%,45%,46.5%,50.2%,38.8%,39.1%,51.9%,53.4%,39.3%,30.4%,42%,48%,42%,37%
3,Passes,371_507,305_533,382_451,381_670,222_741,341_452,300_452,318_414,408_467,331_614,377_596,246_542,262_523,361_472,274_748,353_433,399_400,397_578,252_635,713_341,389_347,478_512,238_662,505_359,542_305,482_527,370_463,382_456,412_392,367_583,375_609,380_445,464_388,302_469,292_644,385_514,413_444,378_517,335_566
4,Tackles,18_15,18_12,19_12,16_7,20_11,15_19,18_14,14_15,14_17,30_10,23_14,20_15,25_11,21_24,12_7,20_16,22_24,19_21,18_14,11_10,10_17,18_17,12_14,17_19,17_7,6_3,13_8,25_20,18_21,14_9,9_16,17_17,18_18,19_15,27_23,22_14,12_21,16_14,24_18
5,Corners,5_6,9_3,7_1,8_6,1_15,9_2,3_14,1_8,4_7,4_10,3_3,2_8,5_8,3_3,1_5,5_1,6_4,3_3,7_5,9_4,6_4,5_2,1_7,2_2,5_3,8_3,4_13,3_4,2_8,1_7,5_4,6_7,5_14,7_9,2_10,5_8,6_2,8_5,4_16
6,1st Half Corners,2_3,5_2,3_0,3_5,1_2,6_0,1_5,0_2,2_1,2_7,1_1,0_2,4_2,1_2,1_2,3_1,5_2,2_0,4_0,5_3,2_2,5_1,0_3,1_2,2_2,3_2,4_7,3_1,1_4,1_4,0_1,6_0,2_8,1_2,0_3,3_3,3_1,3_2,2_13
7,2nd Half Corners,2_4,4_1,4_1,5_1,0_13,3_2,2_9,1_6,2_6,2_3,2_2,2_6,1_6,2_1,0_3,2_0,1_2,1_3,3_5,4_1,4_2,0_1,1_4,1_0,3_1,5_1,0_6,0_3,1_4,0_3,5_3,0_7,3_6,6_7,2_7,2_5,3_1,5_3,2_3
8,Shots - Total,10_13,13_7,19_13,7_9,10_23,23_15,13_15,10_12,15_21,15_29,15_8,12_20,13_12,10_10,8_15,15_9,15_8,6_15,12_15,4_6,9_12,10_17,2_14,12_7,8_10,4_9,9_21,4_2,1_16,4_15,4_10,12_22,7_14,3_2,7_14,14_20,9_6,15_12,8_15
9,Shots - On target,4_5,6_2,4_5,3_4,5_5,8_6,5_8,5_2,7_7,1_11,6_2,3_7,6_4,3_4,5_5,5_5,6_0,1_6,4_3,2_4,4_5,4_8,1_3,6_4,3_9,2_8,4_6,6_2,0_4,0_7,2_4,5_6,2_4,3_8,2_5,7_5,8_5,4_4,4_6
10,Shots - Off target,4_6,7_5,14_8,4_5,5_18,9_4,5_3,3_5,6_9,6_10,5_5,4_3,6_6,2_2,2_5,7_4,7_4,4_4,5_7,1_4,5_2,5_6,0_6,4_2,6_4,5_7,3_10,1_4,1_9,3_6,3_5,4_9,4_3,6_9,2_8,2_10,6_6,2_4,3_3
11,Shots - Blocked,3_5,2_2,6_2,1_2,4_9,6_5,3_4,2_5,2_5,8_8,4_1,5_10,1_2,5_4,1_5,3_0,2_4,1_5,3_5,2_4,3_6,1_5,1_7,2_1,6_4,5_7,2_8,2_3,0_3,1_8,7_3,4_7,1_7,5_6,3_1,5_5,6_3,9_5,2_6
12,Shots - Outside Box,4_5,5_3,9_3,1_6,2_6,5_6,7_5,6_5,7_10,6_9,5_2,5_4,4_3,3_3,3_1,2_5,5_5,2_4,5_3,1_2,4_6,3_9,1_5,5_3,7_4,1_7,0_7,4_4,0_5,1_6,4_7,6_7,4_2,3_3,4_4,6_6,10_7,4_2,1_4
13,Shots - Inside Box,7_10,8_4,10_10,6_3,9_18,18_9,6_10,4_7,8_11,9_20,10_6,7_16,9_9,7_7,5_14,13_4,10_3,4_11,7_12,4_9,8_7,7_10,1_11,7_4,8_12,11_15,9_17,5_5,1_11,3_15,7_5,6_15,3_12,11_20,3_10,8_14,9_7,11_10,7_11
14,Fouls,10_10,11_13,10_18,11_4,13_11,12_10,8_6,14_12,11_6,9_10,10_14,12_8,12_12,17_11,12_5,12_12,6_8,16_8,13_8,6_9,7_19,8_10,14_13,9_22,5_8,4_3,6_9,13_16,12_11,12_12,11_8,10_11,10_11,9_7,9_10,8_8,9_6,8_9,13_9
