,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Crystal Palace - Home,Burnley - Away,West Bromwich Albion - Away,Manchester United - Away,Southampton - Home,Newcastle United - Home,Leeds United - Away,Aston Villa - Home,Arsenal - Away,Wolverhampton Wanderers - Away,Fulham - Home,Chelsea - Home,Sheffield United - Away,Everton - Home,Leicester City - Away,Manchester City - Home,Brighton & Hove Albion - Home,West Ham United - Away,Tottenham Hotspur - Away,Burnley - Home,Manchester United - Home,Southampton - Away,Newcastle United - Away,West Bromwich Albion - Home,Crystal Palace - Away,Tottenham Hotspur - Home,Fulham - Away,Wolverhampton Wanderers - Home,Brighton & Hove Albion - Away,Leicester City - Home,Manchester City - Away,West Ham United - Home,Sheffield United - Home,Everton - Away,Aston Villa - Away,Arsenal - Home,Chelsea - Away,Leeds United - Home
1,,AVG,2-0,0-3,1-2,2-4,2-0,1-1,1-1,2-1,0-3,0-1,0-1,0-1,0-2,0-2,3-1,1-4,0-1,1-3,1-3,0-1,0-0,1-0,0-0,1-1,0-7,2-1,1-1,4-0,1-1,3-0,1-1,2-1,2-1,2-2,7-2,3-1,0-2,4-3
2,Possession,61%,70%,59%,76%,47%,54%,68%,40%,66%,65%,46%,60%,54%,60%,71%,64%,56%,63%,67%,58%,72%,65%,67%,70%,78%,65%,75%,76%,60%,60%,56%,46%,72%,62%,59%,70%,66%,62%,48%
3,Passes,639_383,588_263,584_389,699_201,454_511,557_480,793_350,322_525,577_296,703_395,467_508,708_414,656_549,638_406,693_279,561_357,649_519,697_404,785_365,587_592,686_274,667_344,675_352,661_241,773_213,743_397,813_254,707_227,626_395,526_352,572_441,458_555,828_304,683_406,524_380,650_285,772_395,764_488,432_459
4,Tackles,14_17,15_23,15_14,9_15,16_22,15_18,21_15,12_19,14_18,19_21,14_18,14_15,14_19,13_11,16_21,23_22,18_20,12_13,13_15,4_6,6_10,16_20,16_18,10_19,11_15,19_10,12_26,21_17,12_19,13_22,9_14,13_12,10_18,7_22,18_16,14_15,10_11,14_17,13_34
5,Corners,6_3,14_1,7_6,13_9,4_6,8_4,6_3,8_10,7_0,2_1,2_3,9_4,5_2,3_4,7_2,12_2,6_1,5_3,4_6,2_1,12_0,7_3,6_2,2_4,7_3,4_5,7_4,8_6,4_6,3_4,10_3,2_1,1_2,7_3,5_2,7_2,7_3,11_1,9_0
6,1st Half Corners,2_1,1_1,0_0,5_2,4_2,2_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,3_0,0_1,4_0,0_0,1_0,1_0,0_0,6_0,2_0,0_0,0_0,3_0,2_4,2_1,1_4,2_3,2_1,4_1,1_0,1_1,3_2,3_2,6_1,5_0,3_0,3_0
7,2nd Half Corners,2_1,1_0,3_2,8_7,0_4,2_0,2_0,2_1,0_0,0_0,1_1,0_0,0_0,0_1,0_0,0_0,0_0,1_2,1_1,1_0,6_0,5_3,0_0,0_0,4_3,2_1,5_3,7_2,2_3,1_3,6_2,1_1,0_1,4_1,2_0,1_1,2_3,8_1,6_0
8,Shots - Total,16_9,19_5,20_10,26_10,17_18,14_12,22_7,17_12,23_9,16_3,12_10,16_10,7_11,16_10,15_9,15_11,8_8,11_13,14_8,14_3,27_6,17_8,17_7,11_8,17_5,14_5,17_8,12_10,11_9,6_11,24_11,10_7,9_4,17_13,22_11,14_18,21_4,18_5,22_6
9,Shots - On target,6_4,5_4,3_4,6_3,8_3,6_6,9_4,7_5,10_5,7_2,4_5,3_3,1_5,9_4,6_6,4_6,3_5,1_4,5_2,7_2,6_4,3_4,1_3,4_2,2_3,8_3,11_2,6_5,6_3,2_3,13_4,3_2,5_3,5_2,8_5,8_11,8_3,6_3,6_3
10,Shots - Off target,7_4,14_1,17_6,10_6,5_8,5_4,8_1,10_7,6_4,9_1,5_2,13_7,4_5,6_6,9_3,11_5,5_3,10_9,6_3,6_1,21_2,6_1,11_3,4_4,11_1,4_2,1_6,2_4,4_5,1_6,8_5,4_4,3_0,7_7,8_5,1_4,7_1,9_2,3_1
11,Shots - Blocked,5_2,4_0,8_4,10_1,4_7,3_3,5_2,4_3,7_0,3_1,3_3,2_2,2_1,4_2,5_2,8_1,3_1,7_2,3_3,1_0,11_0,8_3,6_1,3_2,4_1,2_0,5_0,5_3,2_1,3_2,3_2,3_1,1_1,5_4,6_1,5_3,6_0,3_0,13_2
12,Shots - Outside Box,5_3,3_3,5_4,12_2,3_5,2_6,9_1,5_0,6_3,7_1,3_2,6_1,3_4,3_3,7_5,4_3,3_2,6_1,4_2,3_2,11_1,8_3,5_6,5_3,9_2,3_1,2_3,5_4,4_3,3_4,5_4,5_3,3_0,7_4,7_5,4_5,9_1,8_2,5_2
13,Shots - Inside Box,11_6,16_2,15_6,14_8,14_13,12_6,13_6,12_12,17_6,9_2,9_8,10_9,4_7,13_5,8_4,11_8,5_6,5_12,10_6,11_1,16_5,9_5,12_1,6_5,8_3,11_4,15_5,7_6,7_6,3_7,19_7,5_4,6_4,10_9,15_6,10_13,12_3,10_3,17_4
14,Fouls,10_9,10_8,7_10,14_7,12_10,10_6,9_7,15_7,16_11,10_10,10_17,10_8,9_8,9_9,10_10,6_7,13_8,12_6,8_7,11_9,11_8,15_6,12_5,13_9,8_5,11_5,8_9,5_9,8_14,13_9,15_6,11_19,13_14,7_15,9_15,10_7,11_7,6_10,9_6
15,Offsides,2_2,2_1,1_1,2_2,1_1,4_1,1_5,3_0,3_2,3_0,1_2,3_1,1_4,1_3,2_2,1_2,1_2,1_3,1_0,2_2,1_6,1_8,1_6,4_2,1_5,0_7,2_0,2_2,1_3,2_2,2_1,5_2,1_0,2_0,3_2,1_2,0_5,1_1,2_5
16,Yellow Card,1_2,2_2,0_0,0_0,0_3,0_1,2_1,1_2,2_4,1_1,1_2,2_3,0_0,0_0,2_1,2_1,2_1,1_0,0_2,2_1,2_1,2_1,2_3,1_1,0_1,0_1,0_2,1_3,1_1,1_2,0_2,1_3,0_1,0_3,2_3,1_2,2_2,0_0,1_0
17,Red Card,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,0_1,0_0
18,Penalties,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,1_1,0_0,0_0,0_0,0_1,0_0,0_0,0_0,0_0,0_0,0_0,1_0,0_0,0_2,0_0,1_1,1_0,0_1,0_0,0_0,0_0,0_1,2_0
19,Free Kicks,11_12,9_12,11_7,11_16,11_13,,11_10,7_18,,10_13,20_11,9_13,12_10,,12_11,9_7,9_13,9_12,9_9,11_13,14_11,14_16,11_13,11_17,9_9,12_11,9_10,10_7,,11_13,7_16,20_15,13_14,,17_12,9_11,12_11,11_6,9_11
