,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Aston Villa - Away,Leicester City - Home,Arsenal - Home,Manchester City - Away,Fulham - Home,West Ham United - Away,Brighton & Hove Albion - Home,Crystal Palace - Away,West Bromwich Albion - Home,Leeds United - Away,Everton - Home,Liverpool - Away,Manchester United - Home,Southampton - Away,Newcastle United - Home,Sheffield United - Away,Tottenham Hotspur - Away,Burnley - Home,Wolverhampton Wanderers - Home,Leicester City - Away,Fulham - Away,Manchester City - Home,Aston Villa - Home,Arsenal - Away,West Ham United - Home,Wolverhampton Wanderers - Away,Everton - Away,Leeds United - Home,Tottenham Hotspur - Home,Newcastle United - Away,Sheffield United - Home,Burnley - Away,Manchester United - Away,Southampton - Home,Crystal Palace - Home,West Bromwich Albion - Away,Liverpool - Home,Brighton & Hove Albion - Away
1,,AVG,2-1,2-1,0-1,1-2,2-0,0-1,0-0,1-4,2-5,0-0,2-0,0-1,0-0,1-1,2-0,1-2,0-1,2-0,0-0,2-0,0-1,1-3,1-1,3-1,3-0,2-1,1-0,3-1,0-0,0-2,4-1,0-3,0-0,3-3,4-0,3-3,0-2,1-3
2,Possession,62%,71%,58%,67%,48%,49%,55%,64%,64%,66%,61%,66%,46%,58%,71%,66%,69%,58%,72%,79%,65%,65%%,50%,63%,61%,53%,55%,72%,45%,60%,72%,70%,64%,50%,53%,70%,76%,38%,48%
3,Passes,633_398,598_250,549_381,765_369,580_537,511_521,566_447,740_410,782_434,581_297,588_330,713_369,549_656,608_445,727_295,564_289,756_338,631_457,723_287,898_242,636_339,756_328,654_554,550_314,506_328,527_443,494_418,639_241,408_481,657_438,747_287,762_320,693_392,582_582,574_503,707_280,797_249,488_764,465_507
4,Tackles,16_15,18_14,19_21,4_14,14_19,23_19,22_17,8_25,20_14,17_17,15_14,19_11,19_14,25_14,23_18,19_16,16_17,10_13,13_16,15_5,25_19,16_18,11_18,17_19,10_16,16_20,14_17,17_13,20_30,13_5,13_6,13_11,13_13,17_13,16_13,14_10,12_9,17_14,16_17
5,Corners,6_4,9_2,6_5,9_1,2_6,1_8,2_4,0_3,8_0,10_3,5_8,7_3,2_5,3_4,6_3,10_5,8_1,7_2,4_2,12_1,3_6,12_1,2_1,11_4,9_7,5_4,6_5,6_6,8_4,3_3,4_7,6_7,4_3,6_9,6_2,8_5,9_3,1_11,3_4
6,1st Half Corners,2_1,0_0,0_0,3_1,0_0,0_0,0_0,0_1,1_0,0_0,0_1,0_1,0_0,0_0,1_0,0_0,1_0,1_0,1_0,1_0,1_5,3_0,0_0,4_3,3_4,4_1,4_3,3_1,4_2,1_1,2_3,3_4,2_2,3_5,4_0,4_2,2_1,0_3,1_3
7,2nd Half Corners,2_1,1_0,1_1,6_0,0_0,0_0,0_0,0_2,0_0,1_0,0_3,1_0,0_0,0_0,0_0,0_0,1_0,0_0,0_0,2_0,2_1,2_0,3_2,7_1,6_3,1_3,2_2,3_5,4_2,2_2,2_4,3_3,2_1,3_4,2_2,4_3,7_2,1_8,2_1
8,Shots - Total,15_9,24_6,17_7,19_5,13_16,9_10,17_9,7_11,23_1,18_14,15_7,19_7,11_7,18_11,9_4,18_10,9_8,18_7,19_1,14_4,9_8,21_10,9_18,16_10,19_15,11_6,13_12,10_9,23_8,13_5,14_8,20_6,14_5,6_14,11_13,17_4,22_9,5_18,10_13
9,Shots - On target,6_3,7_3,6_3,5_2,6_4,5_3,6_2,4_2,10_1,8_7,8_4,10_1,5_1,6_4,3_1,6_4,3_3,2_2,8_0,5_0,5_6,6_3,2_6,5_2,3_7,7_0,3_4,3_4,11_3,3_1,3_1,9_3,9_0,1_4,5_6,6_0,10_3,3_6,5_3
