,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Everton - Home,Brighton & Hove Albion - Away,Newcastle United - Away,Chelsea - Home,Crystal Palace - Away,Aston Villa - Away,Chelsea - Away,Leeds United - Home,Leicester City - Away,Everton - Away,Fulham - Away,Southampton - Home,Manchester United - Home,Wolverhampton Wanderers - Home,West Ham United - Home,Arsenal - Away,Everton - Away,Tottenham Hotspur - Home,Swansea City - Away,Liverpool - Away,Burnley - Away,Sheffield United - Home,West Bromwich Albion - Away,Cheltenham Town - Away,Aston Villa - Home,Crystal Palace - Home,Brighton & Hove Albion - Home,Birmingham City - Home,Chelsea - Away,Newcastle United - Home,Southampton - Away,West Bromwich Albion - Home,Manchester United - Away,Fulham - Home,Burnley - Home,Tottenham Hotspur - Away,Liverpool - Home,Sheffield United - Away
1,,AVG,5-0,3-2,3-4,1-2,0-2,1-2,1-0,1-2,0-2,0-2,0-3,5-2,0-2,4-1,2-1,0-1,1-3,3-0,1-3,1-4,0-2,1-0,0-5,1-3,2-0,4-0,1-0,3-0,1-3,2-0,0-1,1-1,0-0,2-0,5-0,2-0,1-1,0-1
2,Possession,64%,68%,37%,82%,52%,70%,72%,55%,71%,57%,74%,53%,60%,65%,73%,63%,55%,70%,60%,74%,44%,70%,75%,78%,72%,69%,71%,65%,73%,50%,75%,52%,77%,54%,68%,68%,67%,54%,65%
3,Passes,676_371,725_340,361_607,925_195,537_580,696_294,806_304,600_484,621_252,571_452,668_226,529_444,673_481,715_374,798_309,675_394,599_479,755_313,698_456,776_276,519_649,804_271,805_273,888_247,601_233,628_285,747_288,726_384,791_275,554_654,862_272,547_498,752_224,579_502,792_351,720_315,599_318,555_458,715_375
4,Tackles,13_16,10_12,15_18,21_13,19_14,20_16,4_10,19_20,8_17,14_18,12_20,19_22,8_22,17_13,14_16,11_13,5_8,11_18,21_23,4_16,20_18,6_5,12_15,8_13,1_9,14_14,18_15,16_21,10_9,18_11,8_11,14_26,11_13,6_23,17_17,7_14,13_25,12_13,12_19
5,Corners,6_3,7_5,3_5,5_4,6_2,6_2,11_1,6_3,9_3,1_1,6_4,2_4,5_5,6_2,10_2,4_2,3_1,10_0,4_2,4_1,1_6,3_1,10_0,8_3,5_5,16_2,11_1,8_4,5_3,1_2,7_3,6_6,13_2,3_4,9_3,6_4,10_0,1_2,5_2
6,1st Half Corners,2_1,0_1,0_1,3_2,0_0,0_0,2_0,1_1,1_0,0_0,2_2,0_2,1_2,0_0,1_0,0_0,0_0,4_0,0_0,0_0,0_0,0_0,0_0,0_0,1_2,10_2,5_0,7_1,2_1,0_0,5_2,3_4,5_1,0_4,5_2,3_2,6_0,0_1,3_2
7,2nd Half Corners,2_1,1_0,0_0,2_2,0_0,0_0,1_0,2_1,0_0,0_1,1_1,1_0,2_0,0_0,3_1,1_0,0_0,0_0,0_0,0_0,0_0,2_0,3_0,4_0,0_2,6_0,3_1,1_3,3_2,2_3,2_1,3_2,8_1,3_0,4_1,3_2,4_0,1_1,2_0
8,Shots - Total,16_7,21_8,8_19,15_11,16_13,20_9,13_8,11_5,29_2,11_5,15_10,8_3,17_11,23_8,22_6,10_9,15_7,16_3,15_7,17_6,8_8,13_2,10_4,18_4,20_6,28_11,13_2,16_5,16_8,18_9,11_7,11_9,26_5,9_11,16_6,19_9,22_4,7_10,16_3
9,Shots - On target,6_3,11_3,4_6,6_5,4_6,3_4,3_3,3_3,7_2,4_2,6_2,7_0,11_6,6_6,10_1,3_3,3_1,7_2,6_3,8_1,5_3,6_0,5_1,7_1,9_2,9_4,6_0,6_1,6_2,6_2,6_2,5_3,7_1,2_2,6_1,6_1,5_2,2_3,8_1
10,Shots - Off target,7_3,6_2,2_4,7_3,12_7,10_4,10_5,8_2,22_0,6_2,9_8,1_2,6_5,17_2,12_5,2_4,12_6,4_1,4_2,9_5,3_5,2_2,2_3,11_2,11_4,7_4,7_2,4_3,7_4,8_2,2_3,4_3,11_4,3_6,8_4,10_6,6_0,4_4,4_1
11,Shots - Blocked,5_2,4_3,2_9,2_3,6_3,7_1,4_3,3_0,11_0,3_1,5_4,0_3,2_2,7_2,11_3,6_2,6_3,5_1,5_2,5_2,1_3,6_0,4_1,7_1,2_2,12_3,4_1,6_1,3_2,4_5,3_2,2_4,8_0,5_3,2_1,3_2,11_2,1_3,4_1
12,Shots - Outside Box,5_3,4_4,1_9,8_1,8_7,3_6,7_1,4_1,15_2,2_2,9_3,1_0,5_4,10_1,4_1,5_3,3_2,6_0,4_4,4_2,2_3,5_1,4_4,6_0,3_2,8_5,6_1,3_3,6_4,4_4,3_3,6_2,9_2,3_4,2_2,6_5,7_3,3_5,6_1
13,Shots - Inside Box,10_5,17_4,7_10,7_10,8_5,17_3,6_7,7_4,14_0,9_3,6_7,7_3,12_7,13_7,18_5,5_6,12_5,10_3,11_3,13_4,6_5,8_1,6_0,12_4,17_4,20_6,7_1,13_2,10_4,14_5,8_4,5_7,17_3,6_7,14_4,13_4,15_1,4_5,10_2
