,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Brighton & Hove Albion - Home,Liverpool - Away,Tottenham Hotspur - Home,Wolverhampton Wanderers - Away,Manchester United - Away,Fulham - Home,Brentford - Away,Newcastle United - Home,Nottingham Forest - Home,Leicester City - Away,Chelsea - Away,AFC Bournemouth - Home,West Ham United - Away,Crystal Palace - Home,Everton - Away,Arsenal - Home,Manchester City - Away,Leicester City - Home,Southampton - Away,Leeds United - Home,Wolverhampton Wanderers - Home,Tottenham Hotspur - Away,Liverpool - Home,Brighton & Hove Albion - Away,Manchester United - Home,Newcastle United - Away,Brentford - Home,Fulham - Away,Chelsea - Home,Nottingham Forest - Away,Leeds United - Away,Southampton - Home,Manchester City - Home,Arsenal - Away,West Ham United - Home,Crystal Palace - Away,Everton - Home,AFC Bournemouth - Away
1,,AVG,2-1,1-1,2-1,1-0,1-0,1-0,1-1,3-0,2-0,1-2,0-2,3-0,1-1,1-0,0-2,2-4,3-1,2-4,0-1,2-1,1-1,0-2,1-3,1-2,3-1,4-0,4-0,3-0,0-2,1-1,0-0,1-0,1-1,2-1,0-1,3-1,2-1,2-0
2,Possession,64%,41%,34%,49%,62%,43%,52%,58%,52%,65%,65%,31%,56%,59%,58%,53%,33%,32%,58%,66%,54%,56%,41%,47%,44%,42%,41.8%,45%,39.1%,40.8%,60.6%,55.9%,52.5%,27.2%,40.4%,58%,48.8%,58%,57.3%
3,Passes,419_430,283_427,267_510,412_435,432_264,370_512,436_401,422_308,395_362,448_227,534_290,285_600,447_350,545_352,526_364,433_353,293_571,299_615,561_335,562_320,420_341,491_383,403_579,471_514,293_526,401_543,356_520,329_397,311_482,353_548,506_333,479_375,420_376,287_763,352_504,582_419,428_448,517_378,571_301
4,Tackles,16_16,14_13,29_18,11_16,10_13,15_14,11_21,9_16,18_18,12_17,7_19,24_18,16_20,12_18,13_22,16_20,25_18,7_7,9_20,17_20,30_26,11_29,18_14,12_19,15_5,14_15,11_5,20_20,14_12,24_11,21_14,15_12,34_27,15_11,16_10,17_13,26_14,14_16,4_5
5,Corners,4_6,3_3,3_9,8_3,6_5,4_1,8_2,4_8,7_2,1_8,8_4,2_13,9_6,2_12,2_4,1_5,2_9,4_8,11_3,2_2,0_11,7_8,3_5,0_6,4_11,3_5,0_3,7_6,7_9,7_1,4_1,9_2,6_3,1_4,3_10,3_2,2_4,5_8,5_5
6,1st Half Corners,2_3,2_1,2_3,6_0,2_1,1_1,7_1,3_4,3_1,0_2,1_1,0_8,2_2,1_6,2_3,1_3,0_3,1_1,3_2,0_2,0_6,2_6,0_3,0_3,3_8,1_3,0_0,5_3,4_5,1_0,2_1,5_1,5_2,1_3,0_7,2_1,1_3,2_3,4_2
7,2nd Half Corners,2_3,1_2,1_6,2_3,4_4,3_0,1_1,1_4,4_1,1_6,7_3,2_5,7_4,1_6,0_1,0_2,2_6,0_0,8_1,1_1,0_5,5_2,3_2,0_3,1_3,2_2,0_3,2_3,3_4,6_1,2_0,4_1,1_1,0_1,3_3,1_1,1_1,3_5,1_3
8,Shots - Total,11_10,12_8,6_11,8_7,18_6,7_14,14_1,14_16,16_8,8_6,15_9,5_27,20_10,12_17,8_3,9_15,7_20,6_17,19_9,15_5,11_16,13_11,13_6,12_16,7_2,6_8,3_6,17_10,12_19,16_8,12_5,19_6,9_5,3_12,2_19,3_0,9_16,12_15,15_7
9,Shots - On target,4_4,5_4,3_6,4_3,3_2,1_6,3_0,2_5,6_2,3_2,5_4,2_8,9_3,4_6,1_0,5_5,5_5,2_9,4_5,5_5,5_4,4_3,4_2,6_9,2_2,4_3,0_7,11_3,6_8,7_4,2_3,7_1,3_1,1_4,3_9,3_2,5_9,4_4,2_3
