,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Wolverhampton Wanderers - Home,Nottingham Forest - Away,Brighton & Hove Albion - Home,Newcastle United - Away,Chelsea - Home,Manchester City - Away,Southampton - Home,West Ham United - Away,Liverpool - Away,Leeds United - Home,Crystal Palace - Home,Sporting CP - Home,Fulham - Away,Sporting CP - Away,AFC Bournemouth - Home,Everton - Home,Leicester City - Away,Aston Villa - Away,Manchester City - Home,Brentford - Home,Everton - Away,Manchester United - Home,Tottenham Hotspur - Away,Newcastle United - Home,Brighton & Hove Albion - Away,West Ham United - Home,Wolverhampton Wanderers - Away,Chelsea - Away,Zürich - Home,Nottingham Forest - Home,PSV - Away,Southampton - Away,PSV - Home,Leeds United - Away,Bodø / Glimt - Away,Liverpool - Home,Bodø / Glimt - Home,Tottenham Hotspur - Home
1,,AVG,5-0,1-0,0-3,0-2,3-1,4-1,3-3,2-2,2-2,4-1,4-1,1-1,0-3,2-2,3-2,4-0,0-1,2-4,1-3,1-1,1-0,3-2,0-2,0-0,2-4,3-1,0-2,0-1,1-0,5-0,2-0,1-1,1-0,0-1,0-1,3-2,3-0,3-1
2,Possession,53%,51%,82%,41%,46%,55%,48%,74%,72%,41%,67%,62%,50%,55%,65%,81%,73%,66%,67%,64%,70%,70%,58%,49%,66%,32%,66%,63%,56%,56%,68%,70%,59.6%,62%,53.5%,54.5%,43.8%,49.6%,64.9%
3,Passes,544_365,456_432,724_161,360_535,346_395,543_455,457_496,670_237,601_226,372_525,636_307,587_358,647_577,539_433,647_313,740_184,748_274,613_315,571_293,522_301,587_263,635_252,517_386,452_457,536_253,288_598,657_331,579_348,452_360,367_291,618_275,604_260,541_358,596_373,500_428,624_521,386_488,464_487,565_307
4,Tackles,14_17,17_9,8_19,20_15,24_19,12_16,10_11,17_22,13_17,21_22,15_21,15_18,24_27,20_14,16_14,17_16,7_12,11_12,18_25,13_17,4_7,14_18,21_21,9_16,13_23,18_8,15_13,9_17,18_22,17_17,12_23,7_10,17_24,10_18,17_26,11_15,15_15,13_17,13_15
5,Corners,6_4,8_4,6_3,5_2,4_9,7_2,3_1,7_2,2_7,4_5,4_3,5_4,5_7,8_4,9_3,17_1,5_1,8_0,9_2,1_2,7_4,5_7,12_4,3_4,5_5,4_7,7_5,4_6,6_4,8_4,9_4,6_3,4_9,7_0,3_6,5_3,4_3,6_0,5_2
6,1st Half Corners,3_1,1_2,4_1,3_1,2_4,2_1,1_0,4_1,0_3,2_1,1_0,3_1,1_2,4_0,4_3,9_0,2_1,5_0,3_0,1_2,3_3,0_4,3_0,2_1,0_2,4_3,2_2,2_3,3_1,6_3,5_1,3_1,2_6,3_0,1_2,4_1,1_2,4_0,4_1
7,2nd Half Corners,3_2,7_2,2_2,2_1,2_5,5_1,2_1,3_1,2_4,2_4,3_3,2_3,4_5,4_4,5_0,8_1,3_0,3_0,6_2,0_0,4_1,5_3,0_0,1_3,5_3,0_4,5_3,2_3,3_3,2_1,4_3,3_2,2_3,4_0,2_4,1_2,3_1,2_0,1_1
8,Shots - Total,15_9,14_6,11_6,14_12,10_12,16_7,8_14,25_8,11_16,9_21,13_7,15_9,13_15,15_12,14_10,31_4,15_8,10_1,20_7,10_9,23_9,15_12,24_6,14_17,17_8,14_9,16_8,14_11,14_5,17_8,23_4,17_12,10_8,13_2,10_16,7_6,11_8,16_8,22_7
9,Shots - On target,5_4,9_0,3_2,2_6,6_5,10_4,2_9,6_6,5_3,5_6,6_5,5_5,9_2,7_2,7_6,9_4,5_5,2_0,5_5,1_6,7_2,3_4,5_4,5_7,4_1,7_5,5_4,4_2,2_1,4_2,10_2,3_5,3_3,8_1,4_4,1_1,7_3,6_4,9_3
