,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,Leicester City - Away,Aston Villa - Home,Wolverhampton Wanderers - Home,Leeds United - Away,Sheffield United - Home,Southampton - Home,Everton - Away,Manchester United - Home,Newcastle United - Away,Aston Villa - Away,Arsenal - Away,Crystal Palace - Home,Fulham - Away,Burnley - Home,West Ham United - Away,Manchester City - Away,West Bromwich Albion - Home,Chelsea - Home,Brighton & Hove Albion - Away,Liverpool - Home,Sheffield United - Away,Fulham - Home,Leeds United - Home,Wolverhampton Wanderers - Away,Leicester City - Home,Liverpool - Away,Crystal Palace - Away,Arsenal - Home,Chelsea - Away,Manchester City - Home,West Bromwich Albion - Away,Brighton & Hove Albion - Home,Burnley - Away,West Ham United - Home,Manchester United - Away,Newcastle United - Home,Southampton - Away,Everton - Home
1,,AVG,2-4,1-2,2-0,3-1,4-0,2-1,2-2,1-3,2-2,0-2,2-1,4-1,0-1,4-0,2-1,3-0,2-0,0-1,1-0,1-3,1-3,1-1,3-0,1-1,0-2,2-1,1-1,2-0,0-0,2-0,0-1,2-1,0-1,3-3,1-6,1-1,2-5,0-1
2,Possession,53%,53%,61%,61%,47%,66%,62%,47%,47%,59%,50%,47%,64%,41%,59%,69%,40%,66%,42%,54%,42%,58%,52%,40%,46%,56%,25%,58%,30%,40%,33%,59%,43%,62%,51%,62%,65%,48%,51%
3,Passes,502_466,492_444,569_367,584_360,395_442,715_356,610_371,450_502,439_503,521_348,421_416,482_519,690_373,378_544,633_439,569_253,456_698,589_303,457_631,556_407,592_587,580_413,522_467,347_591,466_542,518_406,254_813,457_344,288_632,438_657,318_599,509_341,387_503,595_364,511_459,672_416,640_319,419_460,552_529
4,Tackles,16_16,17_30,20_18,11_20,14_20,11_13,17_24,6_6,21_19,14_11,17_22,17_20,26_18,20_11,11_11,16_22,23_21,17_23,13_10,5_8,6_4,17_19,14_13,24_20,14_21,20_19,26_12,20_11,13_15,5_13,25_13,16_19,16_13,11_15,25_14,23_15,10_16,8_8,9_19
5,Corners,4_5,7_8,4_5,10_3,6_8,6_6,5_5,3_6,7_5,3_7,8_5,3_6,1_5,1_4,3_4,7_5,2_4,8_0,2_7,2_9,1_2,7_5,6_5,3_5,2_9,5_3,4_7,7_4,3_9,3_3,0_10,6_9,4_5,5_4,3_7,4_2,10_4,2_3,5_3
6,1st Half Corners,1_1,1_0,0_1,5_1,0_1,0_0,1_1,0_0,0_0,0_1,0_1,0_1,0_0,0_0,0_0,0_0,0_0,0_0,0_1,0_0,0_0,3_3,2_3,0_0,1_2,3_2,1_2,3_1,2_3,1_1,0_6,4_3,2_4,2_0,0_3,3_1,5_2,1_2,2_2
7,2nd Half Corners,1_2,1_0,1_0,5_2,0_0,1_0,0_0,1_0,1_0,0_0,0_0,0_0,0_2,0_0,1_3,0_2,0_0,1_0,0_0,2_4,0_1,4_2,4_2,0_0,1_7,2_1,3_5,4_3,1_6,2_2,0_4,2_6,2_1,3_4,3_4,1_1,5_2,1_1,3_1
8,Shots - Total,12_13,11_10,10_20,24_15,11_16,20_8,14_10,12_18,12_12,11_22,9_8,6_13,13_5,10_11,16_10,20_4,7_15,13_4,7_18,8_16,3_14,14_15,15_15,20_18,6_11,8_17,8_17,14_16,6_11,5_13,4_22,19_12,9_6,9_13,11_13,22_5,23_6,9_14,9_15
9,Shots - On target,5_4,4_6,4_4,13_3,3_7,11_1,4_5,3_7,3_7,5_6,3_1,3_3,5_1,3_4,7_3,4_4,3_6,6_1,2_2,4_5,2_7,5_5,6_4,7_5,3_6,3_4,2_11,6_5,3_2,1_3,2_5,5_2,3_2,3_4,6_4,8_2,12_1,6_7,5_4
