,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,West Ham United - Home,Leeds United - Away,Manchester United - Home,Wolverhampton Wanderers - Away,Southampton - Home,Manchester City - Away,Tottenham Hotspur - Away,Arsenal - Away,Norwich City - Home,Tottenham Hotspur - Home,Liverpool - Home,Newcastle United - Away,Aston Villa - Home,Burnley - Home,Manchester United - Away,Watford - Away,Leicester City - Away,Chelsea - Home,Crystal Palace - Home,Everton - Away,Chelsea - Away,Brentford - Home,Wolverhampton Wanderers - Home,Southampton - Away,West Ham United - Away,Leeds United - Home,Aston Villa - Away,Newcastle United - Home,Liverpool - Away,Manchester City - Home,Norwich City - Away,Arsenal - Home,Crystal Palace - Away,Leicester City - Home,Brentford - Away,Everton - Home,Watford - Home,Burnley - Away
1,,AVG,3-1,1-1,4-0,0-3,2-2,3-0,0-1,1-2,0-0,0-2,0-2,2-1,0-2,0-3,2-0,0-2,1-1,1-1,1-1,2-3,1-1,2-0,0-1,1-1,1-1,0-0,2-0,1-1,2-2,1-4,0-0,0-0,1-1,2-1,0-1,0-2,2-0,1-2
2,Possession,55%,50%,50%,42%,51%,49%,35%,52%,36%,63%,48%,52%,68%,66%,69%,50%,65%,56%,43%,64%,52%,52%,50%,59%,56%,68%,58%,63%,66%,41%,48%,65%,58%,53%,37%,59%,66%,57%,64%
3,Passes,496_414,489_480,403_394,373_526,479_458,352_366,353_667,499_480,283_512,478_288,496_551,430_401,634_304,569_289,579_260,516_512,592_315,577_460,438_579,569_337,425_399,473_430,467_450,524_365,410_314,540_271,496_379,608_352,654_326,464_641,501_566,569_292,497_355,565_497,322_549,496_336,612_315,585_441,518_259
4,Tackles,17_15,11_14,12_12,11_12,22_19,16_14,20_15,17_15,19_9,13_17,15_11,13_15,11_12,17_21,13_17,15_18,21_17,21_18,16_14,22_17,25_18,23_23,13_18,18_17,21_12,19_13,12_27,16_16,15_23,20_10,14_6,20_9,16_7,30_16,19_17,16_21,25_17,19_13,16_16
5,Corners,5_6,5_6,1_8,7_6,3_7,6_6,4_7,4_4,2_11,11_2,6_3,7_5,7_4,7_2,4_4,2_10,5_4,5_4,5_7,9_0,5_8,8_10,6_9,7_4,2_6,5_9,6_1,6_5,2_5,3_5,7_6,4_8,8_5,5_6,4_9,5_1,4_5,7_2,6_7
6,1st Half Corners,2_2,1_4,0_5,0_0,1_2,4_3,0_0,2_4,0_4,4_0,3_1,0_0,0_0,0_0,0_4,0_0,0_0,2_3,0_0,0_0,0_0,4_4,4_4,5_2,2_5,3_3,2_0,4_4,2_2,1_2,2_1,3_6,5_0,1_3,3_3,2_0,0_0,0_0,4_2
7,2nd Half Corners,2_2,4_2,1_3,2_0,2_5,2_3,0_0,2_0,2_7,7_2,3_2,0_0,0_0,0_0,4_0,0_0,0_0,3_1,0_0,0_0,0_0,4_6,2_5,2_2,0_1,2_6,4_1,2_1,0_3,2_3,5_5,1_2,3_5,4_3,1_6,3_1,0_0,0_0,2_5
8,Shots - Total,13_13,18_7,15_19,17_15,17_10,10_19,3_20,12_5,8_22,31_6,15_18,8_18,15_10,12_9,11_10,10_20,10_11,15_13,9_15,19_3,12_17,14_8,14_16,11_8,14_14,9_15,20_11,6_9,14_6,9_14,10_23,11_15,21_8,8_8,12_14,4_7,14_14,13_10,14_14
9,Shots - On target,4_4,7_2,6_5,6_5,9_1,7_5,1_6,5_0,3_6,6_0,0_8,3_9,4_4,1_4,1_4,3_7,5_0,5_3,2_3,4_1,5_6,6_5,5_6,1_6,4_4,3_6,4_4,2_5,5_1,6_3,5_13,3_3,2_2,4_3,5_3,2_1,3_5,3_1,8_3
